1005,TCB_05_T1,TCB_05_T2,TCB_05_T3,TCG_05_T1,TCG_05_T2,TCG_05_T3,TCW_05_T1,TCW_05_T2,TCW_05_T3,blue_05_T1,blue_05_T2,blue_05_T3,green_05_T1,green_05_T2,green_05_T3,mndwi_05_T1,mndwi_05_T2,mndwi_05_T3,ndmi_05_T1,ndmi_05_T2,ndmi_05_T3,ndvi_05_T1,ndvi_05_T2,ndvi_05_T3,ndwi_05_T1,ndwi_05_T2,ndwi_05_T3,nir_05_T1,nir_05_T2,nir_05_T3,red_05_T1,red_05_T2,red_05_T3,swir1_05_T1,swir1_05_T2,swir1_05_T3,swir2_05_T1,swir2_05_T2,swir2_05_T3,.geo
0,5197.9998,4557.75645,4557.75645,1697.1257,1521.07535,1521.07535,-1734.668,-1967.7028,-1967.7028,922,655,655,1433,1178.5,1048.5,-0.4747067449,-0.4930637703,-0.5360106206,0.1538792485,0.06997533909,0.06997533909,0.4891726818,0.4930637703,0.4930637703,-0.3461099703,-0.4382076034,-0.4841962858,4023,3471,3471,1380,1048.5,1178.5,2950,3017,3017,1825,1744.5,1744.5,
0,3720.6715,2648.27745,2648.27745,1188.2655,773.4278,773.4278,-847.3394,-946.1782,-946.1782,899,507,507,1084,737.5,720,-0.4602937516,-0.4545118343,-0.4639865997,0.2480851064,0.115902965,0.115902965,0.4661334666,0.4545118343,0.4545118343,-0.2395650649,-0.3574384666,-0.3678665496,2933,1966.5,1966.5,1068,720,737.5,1767,1558,1558,1131,965,965,
1,2440.9878,2057.0536,1183.7645,678.01875,514.59915,364.636,-58.37905,-17.444,74.3365,769.5,626.5,330,956,702,480,-0.3341459168,-0.3820422535,-0.3370165746,0.4069041498,0.3930789707,0.4600301659,0.4209940653,0.3820422535,0.4110787172,0.08420754182,0.01298701299,0.1455847255,1915.5,1570,968,780.5,836,404,807.5,684,358,448,341.5,113,
1,1986.3548,944.6535,715.9932,500.9173,143.9692,-20.9375,-173.4312,-65.4556,23.70685,541,286,303,642,366,350,-0.2960526316,-0.271641791,-0.0635451505,0.3031973539,0.2818455366,0.3683304647,0.3938679245,0.271641791,0.08384458078,0.007849293564,0.01104972376,0.3120899719,1182,639,397.5,514,382,336,632,358,183.5,399,202,162.5,
0,1759.2436,520.9764,379.4057,499.6068,13.9702,-65.95705,-111.00205,55.4659,26.95425,547,233,245.5,603,213,219,-0.381221139,-0.1916508539,0.1450980392,0.3637284701,0.4503464203,0.1869328494,0.4449812131,0.1916508539,-0.04105571848,-0.02030869212,0.2831325301,0.3232628399,1346,314,163.5,517,291,177.5,628,119,112,363,75,49,
0,2035.84155,524.538,462.0748,548.0839,21.1885,-63.5568,-213.5378,13.0402,-5.46195,566,271,282,603,214,219,-0.3550802139,-0.1893939394,0.02217036173,0.3001539251,0.3002070393,0.1385869565,0.4212002243,0.1893939394,-0.03233256351,-0.06147859922,0.1174934726,0.1602649007,1267,314,209.5,516,242,223.5,682,169,158.5,399,75,87.5,
1,2039.839,1566.3038,1462.4502,801.9822,733.8376,580.37835,-204.9676,-251.0704,-277.57265,720,314,293.5,862,350,417,-0.4163845633,-0.6054114994,-0.4946985762,0.3470701867,0.3185185185,0.2325755683,0.4701335207,0.6054114994,0.5153562654,-0.08102345416,-0.3554327808,-0.2962025316,2092,1424,1233.5,754,458,394.5,1014,736,768,508,308,274,
1,2735.65755,1627.109,1506.7257,1048.8846,743.3602,600.48745,-356.81335,-309.8913,-345.9753,1052,366,342.5,1213,366,364,-0.4475062628,-0.5997813013,-0.5574468085,0.3361362203,0.311519498,0.2670623145,0.485046729,0.5997813013,0.5218295218,-0.1310888252,-0.3544973545,-0.3411764706,3178,1463,1281,1102,438,402.5,1579,768,741,836,383,417.5,
1,2443.97815,1577.1981,1194.608,711.1661,830.2488,506.7361,-153.27415,-111.872,-80.2025,1242,318,317.5,1269,343,405.5,-0.285472973,-0.6335470085,-0.449048913,0.3437316068,0.4092165899,0.4125827815,0.3056905919,0.6335470085,0.5706921944,0.06459731544,-0.3028455285,-0.04475853946,2283,1529,1066.5,1214,470,291.5,1115,641,443.5,724,214,214,
1,2432.8015,926.5306,865.9706,587.25125,252.5606,166.01985,-117.497,60.2266,89.81895,1410,242,260,1438,310,391.5,-0.2504560855,-0.4049904031,-0.2379562044,0.3653955606,0.4728370221,0.4825174825,0.2918686053,0.4049904031,0.2881012658,0.1265178222,0.08391608392,0.2762836186,2399,732,636,1315,428,351.5,1115,262,222,689,112,93,
